Game,Region,Team1,Team2,Team1Seed,Team2Seed
1,South,Virginia,UMBC,1,16
2,South,Creighton,Kansas State,8,9
3,South,Kentucky,Davidson,5,12
4,South,Arizona,Buffalo,4,13
5,South,Miami,Loyola Chicago,6,11
6,South,Tennessee,Wright State,3,14
7,South,Nevada,Texas,7,10
8,South,Cincinnati,Georgia State,2,15
25,West,Xavier,Play in 4,1,16
26,West,Missouri,Florida State,8,9
27,West,Ohio State,South Dakota State,5,12
28,West,Gonzaga,UNC Greensboro,4,13
29,West,Houston,San Diego State,6,11
30,West,Michigan,Montana,3,14
31,West,Texas A&M,Providence,7,10
32,West,North Carolina,Lipscomb,2,15
9,East,Villanova,Play in 1,1,16
10,East,Virginia Tech,Alabama,8,9
11,East,West Virginia,Murray State,5,12
12,East,Wichita State,Marshall,4,13
13,East,Florida,Play in 2,6,11
14,East,Texas Tech,SF Austin,3,14
15,East,Arkansas,Butler,7,10
16,East,Purdue,CS Fullerton,2,15
17,Midwest,Kansas,Penn,1,16
18,Midwest,Seton Hall,NC State,8,9
19,Midwest,Clemson,New Mexico State,5,12
20,Midwest,Auburn,Charleston,4,13
21,Midwest,TCU,Play in 3,6,11
22,Midwest,Michigan State,Bucknell,3,14
23,Midwest,Rhode Island,Oklahoma,7,10
24,Midwest,Duke,Iona,2,15
