Seed,Seed1,Seed2,Seed3,Seed4,Seed5,Seed6,Seed7,Seed8,Seed9,Seed10,Seed11,Seed12,Seed13,Seed14,Seed15,Seed16
1,0.5,0.534,0.6,0.699,0.84,0.688,0.857,0.8,0.905,0.857,0.571,1,1,0,0,1
2,0.466,0.5,0.629,0.444,0.2,0.722,0.71,0.444,0.5,0.607,0.867,1,0,0,0.939,0
3,0.4,0.371,0.5,0.625,0.5,0.553,0.588,1,1,0.692,0.706,0,0,0.841,1,0
4,0.301,0.556,0.375,0.5,0.565,0.333,0.333,0.364,0.666,1,0,0.692,0.809,0,0,0
5,0.16,0.8,0.5,0.435,0.5,1,0,0.25,0.333,1,0,0.671,0.8,0,0,0
6,0.313,0.278,0.447,0.667,0,0.5,0.625,0.333,0,0.6,0.638,0,0,0.875,0,0
7,0.143,0.29,0.412,0.667,0,0.375,0.5,1,0,0.609,0,0,0,1,0.66,0
8,0.2,0.556,0,0.636,0.75,0.75,0.5,0.5,0.532,0,1,0,1,0,0,0
9,0.095,0.5,0,0.333,0.666,0,0,0.468,0.5,1,0,0,1,0,0,0
10,0.143,0.393,0.308,0,0,0.4,0.391,0,0,0.5,0.333,0,0,1,1,0
11,0.429,0.133,0.294,0,0,0.362,1,0,0,0.667,0.5,0,0,1,0,0
12,0,0,0,0.308,0.329,0,0,1,0,0,0,0.5,0.727,0,0,0
13,0,0,0,0.191,0.2,0,0,0.273,0,0,0,0,0.5,0,0,0
14,0,0,0.159,0,0,0.125,0,0,0,0,0,0,0,0.5,0,0
15,0,0.061,0,0,0,0,0.333,0,0,0,0,0,0,0,0.5,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
