Team,Season,Season.Type,GP,TOI,CF,CA,CF60,CA60,CF_Perc,CSh_Perc,CSv_Perc,FF,FA,FF60,FA60,FF_Perc,FSh_Perc,FSv_Perc,SF,SA,SF60,SA60,SF_Perc,Sh_Perc,Sv_Perc,xGF,xGA,xGF60,xGA60,xGF_Perc,SCF,SCA,SCF60,SCA60,SCF_Perc,xFSh_Perc,xFSv_Perc,Adj.FSv_Perc,PDO,xPDO,GF,GA,GF60,GA60,GF_Perc,FO_Perc,PENDIFF
ANA,20072008,Regular,83,569.5,729,94,76.8,9.9,88.58,6.86,93.62,584,80,61.53,8.43,87.95,8.56,92.5,420,61,44.25,6.43,87.32,11.9,90.16,53.07,5.07,5.59,0.53,91.28,199,20,20.97,2.11,90.87,9.09,93.67,-1.17,102.07,102.75,50,6,5.27,0.63,89.29,51.29,-38
ANA,20082009,Regular,82,498.65,823,83,99.03,9.99,90.84,7.9,92.77,661,69,79.53,8.3,90.55,9.83,91.3,477,52,57.39,6.26,90.17,13.63,88.46,67.37,4.82,8.11,0.58,93.32,293,16,35.26,1.93,94.82,10.19,93.01,-1.71,102.09,103.21,65,6,7.82,0.72,91.55,55.99,-29
ANA,20092010,Regular,83,504.4,770,108,91.59,12.85,87.7,6.62,92.59,609,93,72.44,11.06,86.75,8.37,91.4,437,76,51.98,9.04,85.19,11.67,89.47,60.88,6.7,7.24,0.8,90.09,241,20,28.67,2.38,92.34,10,92.8,-1.4,101.14,102.8,51,8,6.07,0.95,86.44,50.1,-49
ANA,20102011,Regular,82,463.57,730,95,94.48,12.3,88.48,8.08,94.74,585,80,75.72,10.35,87.97,10.09,93.75,427,55,55.27,7.12,88.59,13.82,90.91,55.47,4.91,7.18,0.64,91.87,235,20,30.42,2.59,92.16,9.48,93.87,-0.12,104.73,103.35,59,5,7.64,0.65,92.19,49.49,-47
ANA,20112012,Regular,82,460.08,718,84,93.64,10.95,89.53,5.85,98.81,539,71,70.29,9.26,88.36,7.79,98.59,382,48,49.82,6.26,88.84,10.99,97.92,53.48,5.4,6.97,0.7,90.84,206,20,26.86,2.61,91.15,9.92,92.4,6.19,108.91,102.32,42,1,5.48,0.13,97.67,51.88,-34
ANA,20122013,Regular,48,221.5,339,48,91.83,13,87.6,7.96,89.58,262,36,70.97,9.75,87.92,10.31,86.11,192,29,52.01,7.86,86.88,14.06,82.76,24.9,2.9,6.74,0.79,89.56,104,12,28.17,3.25,89.66,9.5,91.94,-5.83,96.82,101.44,27,5,7.31,1.35,84.38,51.07,-11
ANA,20132014,Regular,82,476.42,745,99,93.82,12.47,88.27,5.23,91.92,561,76,70.65,9.57,88.07,6.95,89.47,378,49,47.61,6.17,88.52,10.32,83.67,52.73,4.97,6.64,0.63,91.38,198,17,24.94,2.14,92.09,9.4,93.46,-3.98,93.99,102.86,39,8,4.91,1.01,82.98,52.71,-39
ANA,20142015,Regular,82,405.97,649,80,95.92,11.82,89.03,5.24,92.5,483,76,71.38,11.23,86.4,7.04,92.11,344,60,50.84,8.87,85.15,9.88,90,43.21,4.65,6.39,0.69,90.29,140,14,20.69,2.07,90.91,8.95,93.88,-1.78,99.88,102.83,34,6,5.03,0.89,85,50.66,-41
ANA,20152016,Regular,82,410.18,698,62,102.1,9.07,91.84,7.16,95.16,516,52,75.48,7.61,90.85,9.69,94.23,361,35,52.81,5.12,91.16,13.85,91.43,48.05,2.94,7.03,0.43,94.23,171,11,25.01,1.61,93.96,9.31,94.34,-0.11,105.28,103.65,50,3,7.31,0.44,94.34,58.97,-43
ANA,20162017,Regular,82,430.13,733,95,102.25,13.25,88.53,6.14,93.68,543,73,75.74,10.18,88.15,8.29,91.78,366,50,51.05,6.97,87.98,12.3,88,53.08,4.91,7.4,0.69,91.53,195,18,27.2,2.51,91.55,9.77,93.27,-1.49,100.3,103.05,45,6,6.28,0.84,88.24,62.81,-44
