ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	corAns	Experiment	Experiment.Cycle	Experiment.Sample	jitter	probNum	probType	probVer	Procedure	Running	slot1	slot10	slot11	slot12	slot2	slot3	slot4	slot5	slot6	slot7	slot8	slot9	sourceType	stimulus.ACC	stimulus.CRESP	stimulus.RESP	stimulus.RT	stimulus.RTTime	target1Type	target2Type
Fractal Experiment	413	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">3449495124231</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-413-1	60.020	1.0.0.253	1	636860580	Standard	2.0.10.356	2.0.10.356	01-21-2016	1/21/2016 9:16:19 PM	15:16:19	2.0.10.252	1	1	1	1	1	858	57	a	a4	fractal	Experiment	Images\fractal168.png	Images\fractal172.png	Images\fractal172.png	Images\fractal172.png	Images\fractal168.png	Images\fractal169.png	Images\fractal169.png	Images\fractal170.png	Images\fractal170.png	Images\fractal171.png	Images\fractal171.png	Images\fractal172.png	d	1	1	1	5578	109484	d	s
Fractal Experiment	413	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">3449495124231</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-413-1	60.020	1.0.0.253	1	636860580	Standard	2.0.10.356	2.0.10.356	01-21-2016	1/21/2016 9:16:19 PM	15:16:19	2.0.10.252	2	1	2	1	2	572	69	s	s5	fractal	Experiment	Images\fractal216.png	Images\fractal316.png	Images\fractal317.png	Images\fractal318.png	Images\fractal216.png	Images\fractal217.png	Images\fractal217.png	Images\fractal448.png	Images\fractal449.png	Images\fractal450.png	Images\fractal451.png	Images\fractal316.png	ss	0	1	2	9889	121076	dd	sd
Fractal Experiment	413	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">3449495124231</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-413-1	60.020	1.0.0.253	1	636860580	Standard	2.0.10.356	2.0.10.356	01-21-2016	1/21/2016 9:16:19 PM	15:16:19	2.0.10.252	3	2	3	1	3	855	48	a	a2	fractal	Experiment	Images\fractal124.png	Images\fractal127.png	Images\fractal127.png	Images\fractal127.png	Images\fractal124.png	Images\fractal124.png	Images\fractal124.png	Images\fractal125.png	Images\fractal125.png	Images\fractal126.png	Images\fractal126.png	Images\fractal127.png	s	0	2	1	4218	127252	d	s
Fractal Experiment	413	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">3449495124231</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-413-1	60.020	1.0.0.253	1	636860580	Standard	2.0.10.356	2.0.10.356	01-21-2016	1/21/2016 9:16:19 PM	15:16:19	2.0.10.252	4	2	4	1	4	601	26	p	p2	fractal	Experiment	Images\fractal51.png	Images\fractal51.png	Images\fractal51.png	Images\fractal51.png	Images\fractal51.png	Images\fractal51.png	Images\fractal51.png	Images\fractal52.png	Images\fractal52.png	Images\fractal52.png	Images\fractal52.png	Images\fractal51.png	s	1	2	2	1376	130340	d	s
Fractal Experiment	413	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">3449495124231</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-413-1	60.020	1.0.0.253	1	636860580	Standard	2.0.10.356	2.0.10.356	01-21-2016	1/21/2016 9:16:19 PM	15:16:19	2.0.10.252	5	2	5	1	5	699	68	s	s4	fractal	Experiment	Images\fractal214.png	Images\fractal230.png	Images\fractal231.png	Images\fractal231.png	Images\fractal214.png	Images\fractal215.png	Images\fractal215.png	Images\fractal376.png	Images\fractal377.png	Images\fractal378.png	Images\fractal378.png	Images\fractal230.png	ss	0	2	1	6169	138316	ds	ss
Fractal Experiment	413	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">3449495124231</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-413-1	60.020	1.0.0.253	1	636860580	Standard	2.0.10.356	2.0.10.356	01-21-2016	1/21/2016 9:16:19 PM	15:16:19	2.0.10.252	6	2	6	1	6	644	23	p	p2	fractal	Experiment	Images\fractal45.png	Images\fractal45.png	Images\fractal45.png	Images\fractal45.png	Images\fractal45.png	Images\fractal45.png	Images\fractal45.png	Images\fractal46.png	Images\fractal46.png	Images\fractal46.png	Images\fractal46.png	Images\fractal45.png	s	1	2	2	2663	142740	d	s
Fractal Experiment	413	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">3449495124231</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-413-1	60.020	1.0.0.253	1	636860580	Standard	2.0.10.356	2.0.10.356	01-21-2016	1/21/2016 9:16:19 PM	15:16:19	2.0.10.252	7	2	7	1	7	853	49	a	a3	fractal	Experiment	Images\fractal128.png	Images\fractal131.png	Images\fractal132.png	Images\fractal132.png	Images\fractal128.png	Images\fractal129.png	Images\fractal129.png	Images\fractal130.png	Images\fractal130.png	Images\fractal130.png	Images\fractal130.png	Images\fractal131.png	d	1	2	2	11999	156708	s	d
Fractal Experiment	413	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">3449495124231</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-413-1	60.020	1.0.0.253	1	636860580	Standard	2.0.10.356	2.0.10.356	01-21-2016	1/21/2016 9:16:19 PM	15:16:19	2.0.10.252	8	1	8	1	8	651	38	a	a1	fractal	Experiment	Images\fractal84.png	Images\fractal86.png	Images\fractal87.png	Images\fractal87.png	Images\fractal84.png	Images\fractal84.png	Images\fractal84.png	Images\fractal85.png	Images\fractal85.png	Images\fractal85.png	Images\fractal85.png	Images\fractal86.png	s	1	1	1	3924	162395	s	d
Fractal Experiment	413	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">3449495124231</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-413-1	60.020	1.0.0.253	1	636860580	Standard	2.0.10.356	2.0.10.356	01-21-2016	1/21/2016 9:16:19 PM	15:16:19	2.0.10.252	9	2	9	1	9	973	25	p	p2	fractal	Experiment	Images\fractal49.png	Images\fractal49.png	Images\fractal49.png	Images\fractal49.png	Images\fractal49.png	Images\fractal49.png	Images\fractal49.png	Images\fractal50.png	Images\fractal50.png	Images\fractal50.png	Images\fractal50.png	Images\fractal49.png	s	1	2	2	2638	167107	d	s
Fractal Experiment	413	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2337939</Frequency><Timestamp dt:dt="r8">3449495124231</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-01-21T21:16:19Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Fractal Experiment-413-1	60.020	1.0.0.253	1	636860580	Standard	2.0.10.356	2.0.10.356	01-21-2016	1/21/2016 9:16:19 PM	15:16:19	2.0.10.252	10	1	10	1	10	721	37	a	a1	fractal	Experiment	Images\fractal80.png	Images\fractal82.png	Images\fractal83.png	Images\fractal83.png	Images\fractal80.png	Images\fractal80.png	Images\fractal80.png	Images\fractal81.png	Images\fractal81.png	Images\fractal81.png	Images\fractal81.png	Images\fractal82.png	s	1	1	1	7357	176291	s	d
