Region,Team1,Seed
South,Virginia,1
South,Cincinnati,2
South,Tennessee,3
South,Arizona,4
South,Kentucky,5
South,Miami,6
South,Nevada,7
South,Creighton,8
South,Kansas State,9
South,Texas,10
South,Loyola Chicago,11
South,Davidson,12
South,Buffalo,13
South,Wright State,14
South,Georgia State,15
South,UMBC,16
West,Xavier,1
West,North Carolina,2
West,Michigan,3
West,Gonzaga,4
West,Ohio State,5
West,Houston,6
West,Texas A&M,7
West,Missouri,8
West,Florida State,9
West,Providence,10
West,San Diego State,11
West,South Dakota State,12
West,UNC Greensboro,13
West,Montana,14
West,Lipscomb,15
West,TX Southern,16
East,Villanova,1
East,Purdue,2
East,Texas Tech,3
East,Wichita State,4
East,West Virginia,5
East,Florida,6
East,Arkansas,7
East,Virginia Tech,8
East,Alabama,9
East,Butler,10
East,St. Bona,11
East,Murray State,12
East,Marshall,13
East,SF Austin,14
East,CS Fullerton,15
East,Radford,16
Midwest,Kansas,1
Midwest,Duke,2
Midwest,Michigan State,3
Midwest,Auburn,4
Midwest,Clemson,5
Midwest,TCU,6
Midwest,Rhode Island,7
Midwest,Seton Hall,8
Midwest,NC State,9
Midwest,Oklahoma,10
Midwest,Syracuse,11
Midwest,New Mexico State,12
Midwest,Charleston,13
Midwest,Bucknell,14
Midwest,Iona,15
Midwest,Penn,16
