Region,Team1,Seed
South,Virginia,1
South,Cincinnati,2
South,Tennessee,3
South,Arizona,4
South,Kentucky,5
South,Miami,6
South,Nevada,7
South,Creighton,8
South,Kansas State,9
South,Texas,10
South,Loyola Chicago,11
South,Davidson,12
South,Buffalo,13
South,Wright State,14
South,Georgia State,15
South,UMBC,16
West,Kansas,1
West,Duke,2
West,Michigan State,3
West,Auburn,4
West,Clemson,5
West,TCU,6
West,Rhode Island,7
West,Seton Hall,8
West,NC State,9
West,Oklahoma,10
West,Play in 3,11
West,New Mexico State,12
West,Charleston,13
West,Bucknell,14
West,Iona,15
West,Penn,16
East,Villanova,1
East,Purdue,2
East,Texas Tech,3
East,Wichita State,4
East,West Virginia,5
East,Florida,6
East,Arkansas,7
East,Virginia Tech,8
East,Alabama,9
East,Butler,10
East,Play in 2,11
East,Murray State,12
East,Marshall,13
East,SF Austin,14
East,CS Fullerton,15
East,Play in 1,16
Midwest,Xavier,1
Midwest,North Carolina,2
Midwest,Michigan,3
Midwest,Gonzaga,4
Midwest,Ohio State,5
Midwest,Houston,6
Midwest,Texas A&M,7
Midwest,Missouri,8
Midwest,Florida State,9
Midwest,Providence,10
Midwest,San Diego State,11
Midwest,South Dakota State,12
Midwest,UNC Greensboro,13
Midwest,Montana,14
Midwest,Lipscomb,15
Midwest,Play in 4,16
